"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"TNFAIP3",-1.16453814426981,1.85123682893395e-14
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"LOXL1",-3.0496787515824,7.94249278672063e-50
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"LOXL2",-2.51922739608152,2.51617302894585e-58
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL1A2",-2.41314459203315,4.074778855906e-85
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL4A6",-1.98289613985716,4.55229541560113e-32
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL4A2",-1.84703012684067,4.13981133297511e-50
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL4A1",-1.76638971877568,2.62218697482496e-34
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"LOX",-1.64185285649426,1.2660405673323e-16
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL4A4",-1.57807739632857,1.93753101933788e-05
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"PXDN",-1.52116804831424,3.64132457406068e-30
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"LOXL3",-1.24280403419749,2.26146696318932e-15
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"BMP1",-1.06817394089981,7.60974245687602e-13
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",-2.12184375831403,0.00431093026447732,"COL4A5",-0.921766997749912,6.30390648418111e-14
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL11A1",-5.97911231595359,0
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"THBS1",-5.16471413946792,0
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"DDR2",-4.52405488046812,8.7128848639006e-284
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ITGB3",-4.24773261828121,2.94707693785138e-230
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ITGB4",-3.63919859917277,3.70200440361704e-156
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"DMD",-3.60718304623363,2.68871414911187e-110
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL5A2",-3.25000987079925,3.51071821202547e-108
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"NTN4",-3.22993516123233,4.54647113214138e-73
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"FN1",-2.51778637847426,2.59161713560113e-84
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL1A2",-2.41314459203315,4.074778855906e-85
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL5A1",-2.06127172205798,2.53064541586658e-59
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL4A6",-1.98289613985716,4.55229541560113e-32
